"","blockNumber","buyer","category","createdAt","nftAddress","status","parcel_x_coordinate","parcel_y_coordinate","value_usd","zone","createdAtDay","txHash","price_mana","nft_image","nft_owner_address","nft_owner_mana"
"27","12613990","0x01e89cfd61ed710566bd3d5ea0eb35654d65ba74","parcel",2021-06-11 03:36:16,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",18,150,3072.592559,"14",2021-06-11,"0x66189fc6effb17cdc2a8d7b3ee5a41449e39c319df04a81205ef3c85ac456daa",4555,"https://api.decentraland.org/v1/parcels/18/150/map.png","0x01e89cfd61ed710566bd3d5ea0eb35654d65ba74","0"
"28","12610340","0x81e4fb0c64bf49f89b57f6648562fc9a791b2e92","parcel",2021-06-10 19:35:47,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",74,-143,3426.777,"17",2021-06-10,"0x7da9f4c42b52a39d0d73ff363f9b343bf170099b941a8a4dc70aaee0c9496bdb",5000,"https://api.decentraland.org/v1/parcels/74/-143/map.png","0x81e4fb0c64bf49f89b57f6648562fc9a791b2e92","0"
"29","12610388","0xa01424b7540adbb792375dcf97b733a5d68ad347","parcel",2021-06-10 19:34:50,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",49,75,3426.777,"6",2021-06-10,"0x48c082452070b0fa982c73a9d162e9fa56b7326c2b172f46d36e89b3c988c826",5000,"https://api.decentraland.org/v1/parcels/49/75/map.png","0xa01424b7540adbb792375dcf97b733a5d68ad347","0"
"30","12613520","0x30ee894a0c506f31b20d284b707306c4b460c948","parcel",2021-06-10 14:57:19,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",136,-3,3409.240775,"12",2021-06-10,"0x9328710d36e603e8c14ec8bf5e65406c6aff560ebcb12bf6d10e8b365573749d",4750,"https://api.decentraland.org/v1/parcels/136/-3/map.png","0x30ee894a0c506f31b20d284b707306c4b460c948","0"
"31","12616346","0x028b0363ffd8c9dc545a4eb60c085177cd31436b","parcel",2021-06-10 14:50:39,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",-84,-103,3337.467285,"18",2021-06-10,"0x6b9081856d58a127294c0f191f97ee3c6bda61a0f98fac905f8102225551275d",4650,"https://api.decentraland.org/v1/parcels/-84/-103/map.png","0x028b0363ffd8c9dc545a4eb60c085177cd31436b","0"
"32","12652919","0xb18b41768192713281fadace0d34353f669c3dec","parcel",2021-06-10 11:51:34,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",-18,-22,3744.42328,"2",2021-06-10,"0x33d17f87db72f4daa5cd04b61ce9a090a301fe83b612f4b3a39502e8177d2a67",5200,"https://api.decentraland.org/v1/parcels/-18/-22/map.png","0xb18b41768192713281fadace0d34353f669c3dec","0"
"33","12607628","0x621d52ea5340479291d5e575efadae8672434608","parcel",2021-06-10 08:14:45,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",-17,-23,3731.15548,"2",2021-06-10,"0xf02fca6ff0c9bc8a67e91275bb8e37e1489426ef9c74cf3bb552fe7adfb937e9",5200,"https://api.decentraland.org/v1/parcels/-17/-23/map.png","0x621d52ea5340479291d5e575efadae8672434608","0"
"34","12606888","0xa9bd01b23dcc97851cb617cbeb89612b72ae9d15","parcel",2021-06-10 04:53:17,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",130,19,3474.16896,"8",2021-06-10,"0xb0a6e2c978b40790a611a2357729200582e248219e1b1bdcf062d9b4c1a69d1e",4800,"https://api.decentraland.org/v1/parcels/130/19/map.png","0xa9bd01b23dcc97851cb617cbeb89612b72ae9d15","0"
"35","12616601","0x68d7ae1ff3580e942ee4a69b00fc1f315581a5cd","parcel",2021-06-10 02:56:54,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",83,-36,3618.9225,"12",2021-06-10,"0x5af16f9cc16c693a0996e041122166d0c7e87994244e59fde01652b6c7bb36bd",5000,"https://api.decentraland.org/v1/parcels/83/-36/map.png","0x68d7ae1ff3580e942ee4a69b00fc1f315581a5cd","0"
"36","12604037","0xa9bd01b23dcc97851cb617cbeb89612b72ae9d15","parcel",2021-06-09 19:39:22,"0xf87e31492faf9a91b02ee0deaad50d51d56d5d4d","sold",131,19,3361.7384,"8",2021-06-09,"0xff4c76d62c906741ad7e6b22e4566c20c0c9c90ad2becb4af0174806b4fae98e",4750,"https://api.decentraland.org/v1/parcels/131/19/map.png","0xa9bd01b23dcc97851cb617cbeb89612b72ae9d15","0"
